,price_try,make,series,year,km,transmission,fuel,body_type,warranty,from_,wheel_drive,cylinder_number,torque_nm,engine_capacity_cc,engine_power_hp,max_power_rpm,min_power_rpm,acceleration_0to100_sec,max_speed_kmh,average_fuel_consumption_lt,painted_changed
0,364950,Peugeot,Other Peugeot,2003,149000,Manual,LPG & Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,147,1587,110,2500,1200,11.6,190,7.2,Original
1,769950,BMW,5 Series,2008,369000,Automatic,Diesel,Sedan,Warrantless,Dealer,Rear-Wheel Drive,4,350,1995,177,4000,1750,8.4,226,6.1,Original
2,635000,Ford,Focus,2012,210000,Manual,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,230,1560,95,3600,2000,12.5,180,4.2,Original
3,1760000,Mercedes - Benz,Other Mercedes - Benz,2020,38000,Semiautomatic,Gasoline,Sedan,Warrantless,Owner,Front-Wheel Drive,4,200,1332,136,5500,1460,9.3,216,5.3,Original
4,850000,Renault,Megane,2021,30000,Manual,Gasoline,Sedan,Warrantless,Owner,Front-Wheel Drive,4,205,1198,130,5500,2000,10.3,200,5.4,Original
5,715000,Ford,Focus,2017,120000,Manual,Diesel,Sedan,Warrantless,Owner,Front-Wheel Drive,4,230,1560,95,3600,1500,12.6,182,4.5,Original
6,475000,Fiat,Linea,2013,116749,Manual,Diesel,Sedan,Warrantless,Owner,Front-Wheel Drive,4,200,1248,95,4000,1500,13.8,170,4.9,Painted or Changed
7,359500,Other,Other Other,2005,190000,Manual,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,150,1398,71,4000,2000,15.4,165,4.2,Painted or Changed
8,699500,Renault,Fluence,2015,180000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,240,1461,110,4000,2000,11.5,185,4.4,Original
9,598750,Peugeot,Other Peugeot,2017,70000,Manual,Gasoline,Hatchback,Warrantless,Dealer,Front-Wheel Drive,3,118,1199,83,5750,2750,12.2,178,4.5,Painted or Changed
10,1090950,Seat,Other Seat,2017,108000,Semiautomatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,4,250,1598,115,4000,1500,9.8,197,4.1,Original
11,685000,Volkswagen,Polo,2015,137000,Semiautomatic,Diesel,Hatchback,Warrantless,Dealer,Front-Wheel Drive,3,230,1422,90,3500,1500,10.9,184,3.5,Painted or Changed
12,248000,Other,Other Other,1991,302000,Manual,LPG & Gasoline,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,133,1597,90,2500,1200,10.7,180,5.5,Original
13,670000,Toyota,Corolla,2012,220000,Semiautomatic,Diesel,Sedan,Warrantless,Dealer,Front-Wheel Drive,4,205,1364,90,3800,1800,14.8,175,4.8,Painted or Changed
