,price_try,make,series,model,year,km,transmission,fuel,body_type,warranty,from_,wheel_drive,cylinder_number,torque_nm,engine_capacity_cc,engine_power_hp,max_power_rpm,min_power_rpm,acceleration_0to100_sec,max_speed_kmh,average_fuel_consumption_lt,painted_changed
0,364950,Peugeot,307,1.6 Premium,2003,149000,Düz,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,147,1587,110,,,"11,6",190,"7,2",Belirtilmemiş
1,769950,BMW,5 Serisi,520d Premium,2008,369000,Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,4,350,1995,177,4000,1750,"8,4",226,"6,1",Tamamı orjinal
2,635000,Ford,Focus,1.6 TDCi Trend X,2012,210000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1560,95,3600,2000,"12,5",180,"4,2",Tamamı orjinal
3,1760000,Mercedes - Benz,A,A 180 Progressive,2020,38000,Yarı Otomatik,Benzin,Sedan,,Sahibinden,Önden Çekiş,4,200,1332,136,5500,1460,"9,3",216,"5,3",Tamamı orjinal
4,850000,Renault,Megane,1.2 TCe Joy,2021,30000,Düz,Benzin,Sedan,,Sahibinden,Önden Çekiş,4,205,1198,130,5500,2000,"10,3",200,"5,4",Belirtilmemiş
5,715000,Ford,Focus,1.6 TDCi Trend X,2017,120000,Düz,Dizel,Sedan,,Sahibinden,Önden Çekiş,4,230,1560,95,3600,1500,"12,6",182,"4,5",Tamamı orjinal
6,475000,Fiat,Linea,1.3 Multijet Urban,2013,116749,Düz,Dizel,Sedan,Garantisi Yok,Sahibinden,Önden Çekiş,4,200,1248,95,4000,1500,"13,8",170,"4,9",8 boyalı
7,359500,Citroen,C3,1.4 HDi SX,2005,190000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,150,1398,71,4000,2000,"15,4",165,"4,2","1 değişen, 7 boyalı"
8,699500,Renault,Fluence,1.5 dCi Icon,2015,180000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,240,1461,110,4000,2000,"11,5",185,"4,4",Tamamı orjinal
9,598750,Peugeot,208,1.2 PureTech Active,2017,70000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,3,118,1199,83,5750,2750,"12,2",178,"4,5","1 değişen, 2 boyalı"
10,1090950,Seat,Leon,1.6 TDI Style,2017,108000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,115,4000,1500,"9,8",197,"4,1",Tamamı orjinal
11,685000,Volkswagen,Polo,1.4 TDi Comfortline,2015,137000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,3,230,1422,90,3500,1500,"10,9",184,"3,5","3 değişen, 4 boyalı"
12,248000,Nissan,Sunny,1.6 EX,1991,302000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,133,1597,90,,,"10,7",180,,Belirtilmemiş
13,670000,Toyota,Corolla,1.4 D-4D Comfort Extra,2012,220000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,205,1364,90,3800,1800,"14,8",175,"4,8","1 değişen, 1 boyalı"
14,1135000,Opel,Insignia,1.6 CDTI Grand Sport Excellence,2017,172000,Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,320,1598,136,3500,2000,"10,9",203,"5,1",Belirtilmemiş
15,659000,Citroen,C-Elysee,1.5 BlueHDi Feel,2021,35000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1499,100,3500,1750,"10,1",189,"3,9","3 değişen, 4 boyalı"
16,579900,Opel,Corsa,1.3 CDTI Essentia,2009,60000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,170,1248,75,4000,2250,"14,5",163,"4,6",Tamamı orjinal
17,679500,Honda,Civic,1.6 i-VTEC Elegance,2009,178000,Otomatik,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,152,1595,125,6500,4200,"10,3",192,"7,1","1 değişen, 3 boyalı"
18,360000,Mitsubishi,Colt,1.5 DI-D Inform,2007,172000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,3,210,1493,95,,,"10,7",180,"4,6",Belirtilmemiş
19,1250000,Volkswagen,VW CC,1.4 TSi,2015,128000,Yarı Otomatik,Benzin,Coupe,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1395,150,5000,1500,"8,9",218,"5,6",Belirtilmemiş
20,465000,Ford,Fusion,1.6 Lux,2005,120000,Otomatik,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,146,1596,100,6000,4000,"12,2",176,"7,6","2 değişen, 8 boyalı"
21,544500,Ford,Fiesta,1.4 Titanium,2009,158000,Otomatik,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,128,1388,96,5750,4200,"13,9",166,"6,5","2 değişen, 4 boyalı"
22,370000,Renault,Megane,1.5 dCi Expression,2008,420000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1461,86,4000,1900,"12,8",175,"4,7",5 boyalı
23,1385000,BMW,2 Serisi,216d Active Tourer Sport Line,2018,87000,Otomatik,Dizel,MPV,,Sahibinden,Önden Çekiş,3,270,1496,116,4000,1750,"10,6",195,4,Belirtilmemiş
24,615000,BMW,1 Serisi,116i Standart,2010,186000,Otomatik,Benzin,Hatchback/5,Garantisi Var,Galeriden,Arkadan İtiş,4,150,1596,116,6000,4300,"10,8",200,"7,5","3 değişen, 7 boyalı"
25,515000,Ford,Fiesta,1.4 TDCi Trend,2010,183000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,160,1398,70,4000,1750,"14,9",162,"4,2","1 değişen, 1 boyalı"
26,"842000 
                                        


                                832500",Ford,Focus,1.5 TDCi Trend X,2017,200000,Yarı Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,300,1499,120,3600,1750,"10,9",193,"4,2",Belirtilmemiş
27,1110000,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,2016,100000,Yarı Otomatik,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,3,200,999,116,5500,2000,"9,9",206,"4,5",Tamamı orjinal
28,760000,Skoda,Octavia,1.6 TDI Optimal,2017,238000,Yarı Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,115,3250,1500,"10,2",202,"3,9",Belirtilmemiş
29,465000,Skoda,Octavia,1.6 TDI Ambiente,2011,168000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,250,1598,105,4400,1500,"11,8",190,"4,5",Belirtilmemiş
30,795000,Kia,Ceed,1.6 CRDi Comfort,2016,216000,Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,260,1582,128,4000,2750,"10,9",190,"5,5",6 boyalı
31,589000,Renault,Fluence,1.6 Extreme,2011,213000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,151,1598,110,6000,4250,"11,7",183,"6,5",Belirtilmemiş
32,1110000,Opel,Insignia,1.6 CDTI Cosmo,2017,91000,Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,320,1598,136,4000,2250,"10,9",200,5,Tamamı orjinal
33,517500,Volkswagen,Polo,1.6 TDi Comfortline,2013,402000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1598,90,4200,2500,"11,5",180,"4,2",Belirtilmemiş
34,178500,Ford,Escort,1.6 CL,1994,10000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,,,1401 - 1600 cm3,51 - 75 HP,,,,,,Belirtilmemiş
35,197500,Renault,R 9,1.4 Broadway,1991,10000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,,1390,83,5750,3500,,168,,Belirtilmemiş
36,177500,Mitsubishi,Lancer,1.5 GLX,1990,340000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,,1468,90,,,,,,Belirtilmemiş
37,699950,Volkswagen,Golf,1.4 TSi Midline,2008,107000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1390,140,5600,4000,"8,8",205,"7,1",Belirtilmemiş
38,499950,Renault,Symbol,1.5 dCi Expression,2011,110000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,200,1461,85,3750,1750,"12,3",177,"4,3",Belirtilmemiş
39,1269000,Honda,Civic,1.6 i-VTEC Eco Executive,2020,48000,Otomatik,LPG & Benzin,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,152,1597,125,6500,4300,"11,5",196,"6,3",1 değişen
40,519000,Renault,Fluence,1.5 dCi Business,2012,239900,Yarı Otomatik,Dizel,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,240,1461,110,4000,2000,"11,5",185,"4,4",Belirtilmemiş
41,729900,Ford,Focus,1.6 TDCi Trend X,2013,129850,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,230,1560,95,3600,2000,"12,5",180,"4,2",Belirtilmemiş
42,593000,Renault,Clio,1.5 dCi Icon,2017,74000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1461,90,3750,1750,12,180,"3,6",3 boyalı
43,307000,Opel,Corsa,1.2 Twinport Essentia,2004,391000,Düz,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,110,1229,80,,,13,170,6,Belirtilmemiş
44,335000,Renault,Clio,1.5 dCi Authentique,2005,183000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,185,1461,80,3750,2000,"12,7",171,"4,8",Belirtilmemiş
45,"505000 
                                        


                                465000",Kia,Ceed,1.6 CRDi Motion,2012,159000,Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,255,1582,115,4000,2750,"12,8",180,"5,6","1 değişen, 10 boyalı"
46,1250000,BMW,3 Serisi,320i Cabrio,2008,240000,Otomatik,Benzin,Cabrio,Garantisi Yok,Galeriden,Arkadan İtiş,4,210,1995,170,6200,3600,"9,8",226,"6,7",3 boyalı
47,1935000,Peugeot,508,1.6 Puretech GT,2022,16000,Otomatik,Benzin,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,300,1598,225,5500,1900,"7,3",248,"5,7",Tamamı orjinal
48,813900,Ford,Focus,1.6 TDCi Style,2016,99000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,270,1560,115,3600,2500,"10,9",180,"4,5",Tamamı orjinal
49,415000,Honda,Civic,1.6 i-VTEC ES,2002,293000,Otomatik,LPG & Benzin,Sedan,,Sahibinden,Önden Çekiş,4,152,1590,110,6300,4800,"11,3",192,7,Belirtilmemiş
50,485000,Toyota,Corolla,1.33 Comfort,2011,278000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,128,1329,99,6000,3800,"13,1",180,"5,9","4 değişen, 6 boyalı"
51,977900,Ford,Mondeo,1.5 Titanium,2015,188000,Otomatik,Benzin,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,240,1498,160,6000,4000,"9,1",214,"6,3",Belirtilmemiş
52,750000,Ford,Fiesta,1.5 TDCi Trend X,2016,79400,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,185,1498,75,4000,1700,"13,5",167,"3,7",Tamamı orjinal
53,601900,Renault,Clio,1.2 Joy,2013,101000,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,105,1149,75,,,"15,4",164,"5,5",Tamamı orjinal
54,522000,Dacia,Sandero,1.5 dCi Stepway,2012,210000,Düz,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,220,1461,90,4000,1750,"11,8",167,4,Tamamı orjinal
55,735000,Toyota,Corolla,1.33 Life,2015,70000,Düz,Benzin,Sedan,Garantisi Var,Galeriden,Önden Çekiş,4,128,1329,99,6000,3800,"12,6",180,"5,8",1 boyalı
56,600000,Renault,Clio,1.4 Dynamique,2010,97200,Düz,Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,127,1390,100,5700,4200,"11,3",183,"6,7","1 değişen, 2 boyalı"
57,"1215000 
                                        


                                1198500",Seat,Leon,1.5 EcoTSI Xcellence,2020,48000,Yarı Otomatik,Benzin,Hatchback/5,Garantisi Var,Galeriden,Önden Çekiş,4,250,1498,150,5000,1500,"8,3",213,"5,1",Tamamı orjinal
58,700000,Renault,Fluence,1.5 dCi Touch Plus,2013,178500,Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,240,1461,110,4000,2000,"11,5",185,"4,4",Tamamı orjinal
59,300000,Mercedes - Benz,260,SE,1988,412000,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,6,,2599,166,,,,,,Belirtilmemiş
60,3070000,Mercedes - Benz,E,220 D Exclusive,2017,139000,Otomatik,Dizel,Sedan,Garantisi Yok,Galeriden,4WD (Sürekli),4,400,1950,194,3800,1600,"7,5",239,"4,8",Belirtilmemiş
61,433500,Hyundai,Accent Era,1.5 CRDi Team,2009,301000,Düz,Dizel,Sedan,Garantisi Yok,Galeriden,Önden Çekiş,4,235,1493,110,4000,1900,"11,5",176,"4,6",4 boyalı
62,3250000,BMW,5 Serisi,520i Luxury Line,2021,70025,Otomatik,Benzin,Sedan,Garantisi Var,Galeriden,Arkadan İtiş,4,250,1597,170,6000,2000,"8,3",226,"7,1",Tamamı orjinal
63,709000,Honda,Jazz,1.4 Fun,2012,134000,Otomatik,LPG & Benzin,Hatchback/5,Garantisi Yok,Galeriden,Önden Çekiş,4,127,1339,100,6000,4800,"13,6",182,"5,4",4 boyalı
64,175000,Tofaş,Şahin,Şahin 5 Vites,1993,111111,Düz,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,4,122,1581,80,5500,3250,,,,3 boyalı
65,385000,Mercedes - Benz,200,E,1991,451000,Otomatik,LPG & Benzin,Sedan,Garantisi Yok,Galeriden,Arkadan İtiş,,,1801 - 2000 cm3,126 - 150 HP,,,,,,Belirtilmemiş
66,1165000,BMW,1 Serisi,116d Premium Line,2018,146000,Otomatik,Dizel,Hatchback/5,Garantisi Yok,Galeriden,Arkadan İtiş,3,270,1496,116,4000,1750,"10,3",200,"3,9",Tamamı orjinal
